h3,pop,kab
866509787ffffff,200.0,9
866509797ffffff,95.0,9
86650979fffffff,3.0,9
8665097a7ffffff,37.0,9
8665097afffffff,85.0,9
8665097b7ffffff,112.0,9
866509827ffffff,5.0,499
86650982fffffff,135.0,8
866509837ffffff,1.0,499
866509847ffffff,14327.0,8
86650984fffffff,193.0,8
866509857ffffff,3714.0,8
86650985fffffff,5259.0,8
866509867ffffff,7620.0,8
86650986fffffff,7.0,8
866509877ffffff,25783.0,8
86650989fffffff,1.0,499
8665098afffffff,1.0,499
8665098cfffffff,2.0,8
8665098efffffff,1.0,8
8665098f7ffffff,1.0,499
866509907ffffff,3.0,499
86650990fffffff,2.0,499
866509917ffffff,1.0,499
86650991fffffff,1.0,499
866509927ffffff,1.0,499
86650992fffffff,1.0,499
866509937ffffff,6.0,499
866509947ffffff,26010.0,8
86650994fffffff,10787.0,8
866509957ffffff,254.0,8
86650995fffffff,57546.0,8
866509967ffffff,15047.0,8
86650996fffffff,6554.0,8
866509977ffffff,3973.0,499
866509987ffffff,147.0,499
866509997ffffff,2992.0,499
8665099a7ffffff,1605.0,499
8665099b7ffffff,3614.0,499
866509a0fffffff,3.0,8
866509a17ffffff,1.0,8
866509a1fffffff,1.0,8
866509a2fffffff,2.0,4
866509a37ffffff,1.0,8
866509a47ffffff,2.0,4
866509a4fffffff,6.0,4
866509a57ffffff,1.0,8
866509a5fffffff,2.0,4
866509a67ffffff,5.0,4
866509a6fffffff,3.0,4
866509a77ffffff,3.0,4
866509a87ffffff,7.0,13
866509a97ffffff,2814.0,13
866509a9fffffff,501.0,13
866509aafffffff,5.0,13
866509ab7ffffff,1187.0,13
866509ac7ffffff,4.0,13
866509acfffffff,5.0,13
866509ad7ffffff,3.0,13
866509adfffffff,2.0,13
866509ae7ffffff,3.0,8
866509aefffffff,3.0,13
866509af7ffffff,4.0,13
866509b1fffffff,1.0,8
866509b27ffffff,1.0,8
866509b2fffffff,2.0,8
866509b37ffffff,2.0,8
866509b47ffffff,2.0,8
866509b57ffffff,1.0,8
866509b5fffffff,5.0,4
866509b67ffffff,7.0,8
866509b6fffffff,2.0,4
866509b77ffffff,6.0,8
866509b87ffffff,105.0,8
866509b8fffffff,6.0,8
866509b97ffffff,1215.0,8
866509b9fffffff,1273.0,8
866509ba7ffffff,22.0,8
866509bb7ffffff,4433.0,8
866509c07ffffff,4902.0,499
866509c0fffffff,1040.0,499
866509c17ffffff,11160.0,499
866509c1fffffff,7379.0,499
866509c27ffffff,7206.0,499
866509c2fffffff,9.0,499
866509c37ffffff,6474.0,499
866509c57ffffff,133.0,499
866509c5fffffff,32.0,6
866509c87ffffff,16538.0,499
866509c8fffffff,2115.0,499
866509c97ffffff,3324.0,499
866509c9fffffff,1191.0,499
866509ca7ffffff,10584.0,499
866509cafffffff,10057.0,499
866509cb7ffffff,18749.0,499
866509cc7ffffff,1698.0,499
866509ccfffffff,6109.0,6
866509cd7ffffff,8857.0,499
866509cdfffffff,3561.0,6
866509ce7ffffff,176.0,499
866509cefffffff,2627.0,6
866509cf7ffffff,4767.0,499
866509d07ffffff,7689.0,499
866509d0fffffff,2334.0,499
866509d17ffffff,6330.0,499
866509d1fffffff,2291.0,499
866509d27ffffff,10529.0,499
866509d2fffffff,13650.0,499
866509d37ffffff,15780.0,499
866509d47ffffff,1089.0,499
866509d57ffffff,1008.0,499
866509d67ffffff,3238.0,499
866509d6fffffff,615.0,499
866509d77ffffff,1026.0,499
866509d87ffffff,26033.0,499
866509d8fffffff,24417.0,499
866509d97ffffff,5958.0,499
866509d9fffffff,23560.0,499
866509da7ffffff,13691.0,499
866509dafffffff,3709.0,499
866509db7ffffff,16708.0,499
86650b207ffffff,802.0,9
86650b20fffffff,9082.0,9
86650b21fffffff,103.0,9
86650b227ffffff,4710.0,9
86650b22fffffff,19560.0,9
86650b237ffffff,59.0,9
86650b247ffffff,27683.0,10
86650b24fffffff,20187.0,10
86650b257ffffff,23011.0,10
86650b25fffffff,21589.0,10
86650b267ffffff,7500.0,10
86650b26fffffff,3086.0,10
86650b277ffffff,26825.0,9
86650b2c7ffffff,13.0,10
86650b2e7ffffff,4749.0,9
86650b2efffffff,10452.0,10
86650b2f7ffffff,2.0,9
86650b307ffffff,5001.0,9
86650b30fffffff,19295.0,9
86650b31fffffff,559.0,9
86650b327ffffff,19145.0,9
86650b32fffffff,6323.0,9
86650b347ffffff,582.0,9
86650b34fffffff,2801.0,10
86650b357ffffff,6000.0,9
86650b35fffffff,13740.0,9
86650b367ffffff,4719.0,9
86650b36fffffff,802.0,9
86650b377ffffff,4104.0,9
86650b84fffffff,4.0,9
86650b86fffffff,7.0,9
86650b94fffffff,7.0,6
86650b967ffffff,3.0,6
86650b96fffffff,69.0,6
86650ba07ffffff,3869.0,9
86650ba0fffffff,697.0,9
86650ba17ffffff,6100.0,9
86650ba1fffffff,1106.0,9
86650ba27ffffff,850.0,9
86650ba2fffffff,2333.0,9
86650ba37ffffff,2677.0,9
86650ba47ffffff,5.0,9
86650ba4fffffff,3.0,9
86650ba57ffffff,52.0,9
86650ba5fffffff,10.0,9
86650ba67ffffff,2844.0,9
86650ba6fffffff,20.0,9
86650ba77ffffff,131.0,9
86650ba87ffffff,13236.0,9
86650ba8fffffff,14746.0,9
86650ba9fffffff,15098.0,9
86650baa7ffffff,7521.0,9
86650baafffffff,1743.0,9
86650bab7ffffff,965.0,9
86650bac7ffffff,1064.0,9
86650bacfffffff,2039.0,9
86650bad7ffffff,11082.0,9
86650badfffffff,3591.0,9
86650bae7ffffff,164.0,9
86650baefffffff,424.0,9
86650baf7ffffff,3634.0,9
86650bb07ffffff,3341.0,9
86650bb0fffffff,840.0,9
86650bb17ffffff,8336.0,9
86650bb1fffffff,3092.0,9
86650bb27ffffff,7948.0,9
86650bb2fffffff,2844.0,9
86650bb37ffffff,3555.0,9
86650bb47ffffff,167.0,9
86650bb4fffffff,3694.0,9
86650bb57ffffff,48.0,9
86650bb5fffffff,1039.0,9
86650bb67ffffff,780.0,9
86650bb6fffffff,423.0,9
86650bb77ffffff,1350.0,9
86650bb87ffffff,491.0,9
86650bb8fffffff,17606.0,9
86650bb9fffffff,8707.0,9
86650bba7ffffff,121.0,9
86650bbafffffff,11682.0,9
86650c037ffffff,29.0,483
86650c04fffffff,11.0,483
86650c06fffffff,7251.0,483
86650c10fffffff,14.0,483
86650c167ffffff,219.0,483
86650c16fffffff,14895.0,483
86650c207ffffff,6193.0,509
86650c20fffffff,28319.0,509
86650c21fffffff,5519.0,509
86650c227ffffff,10570.0,509
86650c22fffffff,9669.0,509
86650c237ffffff,108.0,509
86650c247ffffff,9363.0,509
86650c24fffffff,10223.0,509
86650c257ffffff,21397.0,509
86650c25fffffff,6804.0,509
86650c267ffffff,6208.0,509
86650c26fffffff,10967.0,509
86650c277ffffff,19746.0,509
86650c2c7ffffff,2127.0,509
86650c2cfffffff,16884.0,509
86650c2e7ffffff,22155.0,509
86650c2efffffff,28194.0,509
86650c307ffffff,20109.0,483
86650c30fffffff,7235.0,483
86650c317ffffff,2791.0,483
86650c31fffffff,12464.0,483
86650c327ffffff,37849.0,483
86650c32fffffff,28381.0,483
86650c337ffffff,34283.0,483
86650c347ffffff,78354.0,509
86650c34fffffff,112743.0,509
86650c357ffffff,26528.0,509
86650c35fffffff,38568.0,509
86650c367ffffff,4411.0,509
86650c36fffffff,11032.0,509
86650c377ffffff,13860.0,509
86650c627ffffff,2.0,509
86650c807ffffff,2305.0,482
86650c80fffffff,6243.0,482
86650c827ffffff,1643.0,482
86650c82fffffff,37604.0,482
86650c847ffffff,37383.0,482
86650c84fffffff,37022.0,482
86650c857ffffff,15353.0,482
86650c85fffffff,20608.0,482
86650c867ffffff,29061.0,482
86650c86fffffff,51202.0,482
86650c877ffffff,31903.0,482
86650c8c7ffffff,650.0,483
86650c8cfffffff,6763.0,483
86650c8dfffffff,1.0,483
