No,ID_SPKLU,Nama_SPKLU,Tagging_SPKLU,Jenis_Lokasi,UP3,Kota_Kab,Latitude,Longitude,Jml_Transaksi,Energi_kWh,Pendapatan_Rp
310,1413,SPKLU PLN POSKO WARUNG KONDANG,Merah (Utilisasi Rendah <10 trx),F&B / Kafe / Leisure Retail,CIANJUR,KAB. CIANJUR,-6.870025,107.098276,9,71.88,187956
311,1581,SPKLU PLN OCEAN VIEW,Merah (Utilisasi Rendah <10 trx),Wisata / Leisure,CIANJUR,KAB. CIANJUR,-7.466948,107.169861,7,61.68,161283
312,229,SPKLU PLN ULP RAJAMANDALA,Kuning (Utilisasi Sedang 11-50 trx),Kantor / Unit Layanan PLN,CIMAHI,KAB. BANDUNG BARAT,-6.833078,107.346798,16,60.43,153500
313,1693,SPKLU PLN MESJID ENDAN,Kuning (Utilisasi Sedang 11-50 trx),Publik / Pemerintah / Transportasi,PURWAKARTA,KAB. PURWAKARTA,-6.699598,107.473717,12,59.78,151855
314,2178,SPKLU PLN POSKO CIKIJING,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIREBON,KAB. KUNINGAN,-7.020685,108.391911,5,55.23,145779
315,2224,SPKLU PLN POSKO CIPARAY,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,MAJALAYA,KAB. BANDUNG,-7.035193,107.712,6,44.27,115759
316,482,SPKLU PLN ULP TANGGEUNG,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIANJUR,KAB. CIANJUR,-7.267615,107.120075,7,42.31,110584
317,1412,SPKLU PLN POSKO CIBEBER,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIANJUR,KAB. CIANJUR,-6.936976,107.12325,8,39.71,103838
318,212,SPKLU PLN ULP PLERED,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,PURWAKARTA,KAB. PURWAKARTA,-6.638197,107.406718,5,34.66,88037
319,906,SPKLU PLN ISTANA PRESIDEN CIPANAS (Khusus Internal Istana Presiden),Merah (Utilisasi Rendah <10 trx),Publik / Pemerintah / Transportasi,CIANJUR,KAB. CIANJUR,-6.732474,107.040642,2,33.87,88569
